Fiscal Year Released,Recidivism Reporting Year,Race - Ethnicity,Hispanic?,Sex,Age At Release ,Convicting Offense Classification,Convicting Offense Type,Convicting Offense Subtype,Release Type,Recidivism - Return to Prison,Days to Recidivism
2010,2013,0,1,1,4,4,1,18,2,1,282
2010,2013,0,1,1,3,3,3,9,2,1,282
2010,2013,1,1,1,3,1,0,10,2,1,282
2010,2013,0,1,1,4,3,0,0,0,1,282
2010,2013,0,1,1,4,1,4,5,0,1,283
2010,2013,0,1,0,3,4,3,8,2,1,283
2010,2013,0,1,1,4,4,1,15,2,1,284
2010,2013,0,1,0,3,3,3,8,0,1,284
2010,2013,0,0,1,1,1,4,5,0,1,285
2010,2013,0,1,1,1,1,4,5,0,1,285
2010,2013,0,1,1,0,3,3,19,0,1,286
2010,2013,0,1,1,0,4,6,17,2,1,286
2010,2013,0,1,1,0,3,3,3,0,1,286
2010,2013,3,1,1,1,4,3,9,2,1,287
2010,2013,0,1,1,1,4,3,8,0,1,287
2010,2013,0,1,1,1,3,4,5,0,1,288
2010,2013,0,1,1,1,1,4,5,0,1,288
2010,2013,0,1,1,1,1,0,6,2,1,288
2010,2013,1,1,1,1,5,4,5,0,1,289
2010,2013,0,1,1,1,4,3,9,2,1,289
2010,2013,0,1,1,3,3,3,3,0,1,290
2010,2013,0,1,1,3,5,1,1,0,1,291
2010,2013,1,1,1,1,1,4,5,0,1,291
2010,2013,0,1,1,5,4,6,17,2,1,292
2010,2013,0,1,1,1,3,3,3,0,1,293
2010,2013,0,1,0,4,1,4,5,0,1,295
2010,2013,1,1,1,0,4,0,0,2,1,295
2010,2013,0,1,1,1,1,4,5,0,1,295
2010,2013,0,1,1,1,3,3,3,0,1,296
2010,2013,1,1,1,4,3,3,9,2,1,296
2010,2013,0,1,0,0,4,3,9,0,1,296
2010,2013,3,1,1,1,4,1,18,2,1,297
2010,2013,0,1,1,3,3,3,3,2,1,297
2010,2013,0,1,1,3,3,4,5,0,1,297
2010,2013,0,1,1,0,3,1,4,2,1,298
2010,2013,1,1,1,3,4,3,9,2,1,299
2010,2013,0,1,1,1,1,3,3,2,1,299
2010,2013,0,1,1,1,1,4,5,0,1,300
2010,2013,0,1,0,1,5,3,8,0,1,300
2010,2013,0,1,1,4,1,0,0,0,1,301
2010,2013,0,1,1,1,3,3,3,2,1,303
2010,2013,0,1,1,0,3,3,3,0,1,303
2010,2013,0,1,1,1,5,4,5,0,1,305
2010,2013,0,1,1,4,3,3,9,2,1,306
2010,2013,1,1,0,3,4,1,21,0,1,306
2010,2013,0,1,1,3,5,1,1,0,1,307
2010,2013,0,1,1,4,3,0,20,0,1,307
2010,2013,0,1,1,3,5,4,11,0,1,308
2010,2013,0,1,1,3,0,4,5,0,1,308
2010,2013,0,1,1,5,5,1,1,0,1,309
2010,2013,0,1,1,1,4,3,9,2,1,310
2010,2013,0,1,1,3,1,3,3,2,1,310
2010,2013,1,1,1,5,1,3,9,2,1,310
2010,2013,0,1,1,3,1,4,11,0,1,311
2010,2013,0,1,1,3,3,3,9,2,1,312
2010,2013,1,1,1,3,1,4,5,0,1,312
2010,2013,1,1,1,1,3,1,4,2,1,313
2010,2013,0,1,1,1,3,4,5,0,1,313
2010,2013,0,1,1,1,1,4,5,2,1,314
2010,2013,0,1,1,3,5,4,5,0,1,314
2010,2013,1,1,1,0,1,4,5,2,1,314
2010,2013,0,1,1,1,3,4,5,0,1,314
2010,2013,0,1,1,0,1,4,5,0,1,314
2010,2013,1,1,1,4,3,1,1,2,1,318
2010,2013,1,1,1,4,5,4,23,0,1,319
2010,2013,0,1,1,1,5,4,5,0,1,319
2010,2013,0,1,1,1,3,3,8,0,1,320
2010,2013,0,1,1,3,1,3,3,2,1,321
2010,2013,0,1,0,1,1,3,3,0,1,321
2010,2013,0,1,0,3,3,4,5,0,1,322
2010,2013,0,1,1,1,4,4,23,0,1,323
2010,2013,0,1,1,4,3,4,23,0,1,323
2010,2013,0,1,1,4,5,3,9,0,1,324
2010,2013,1,1,1,3,4,0,0,2,1,324
2010,2013,0,1,1,3,3,4,23,2,1,325
2010,2013,0,1,1,5,4,4,23,2,1,326
2010,2013,0,1,1,0,1,4,11,0,1,328
2010,2013,0,1,1,1,3,3,3,0,1,328
2010,2013,0,1,1,1,4,1,18,0,1,329
2010,2013,0,1,1,1,5,3,3,0,1,329
2010,2013,0,1,0,1,1,4,5,0,1,330
2010,2013,0,1,1,3,5,4,23,0,1,330
2010,2013,0,1,1,1,3,3,19,0,1,331
2010,2013,0,1,1,1,1,4,5,2,1,332
2010,2013,0,1,1,0,3,3,3,2,1,332
2010,2013,0,1,1,4,3,0,0,0,1,332
2010,2013,0,0,1,1,3,1,18,0,1,332
2010,2013,0,1,1,1,3,3,9,0,1,332
2010,2013,1,1,1,4,1,4,5,2,1,334
2010,2013,0,1,1,1,1,4,5,0,1,335
2010,2013,0,0,1,3,0,4,5,0,1,336
2010,2013,0,1,1,1,1,4,5,0,1,336
2010,2013,1,1,1,3,4,3,9,0,1,336
2010,2013,1,1,1,0,3,4,11,2,1,336
2010,2013,0,1,1,3,3,4,11,2,1,336
2010,2013,0,1,1,0,1,4,5,0,1,338
2010,2013,0,1,1,1,3,3,9,0,1,341
2010,2013,0,1,1,0,3,3,3,2,1,341
2010,2013,3,1,1,1,1,4,5,0,1,341
2010,2013,0,1,0,4,1,4,5,0,1,341
2010,2013,0,1,1,0,4,0,6,2,1,341
2010,2013,0,1,1,3,3,0,6,2,1,342
2010,2013,0,1,1,1,3,3,8,0,1,342
2010,2013,0,1,1,1,1,4,5,0,1,343
2010,2013,1,1,1,0,1,3,9,0,1,343
2010,2013,0,1,1,3,4,0,0,0,1,344
2010,2013,1,1,1,1,0,4,5,0,1,344
2010,2013,1,1,0,1,3,4,23,0,1,345
2010,2013,0,1,1,3,4,0,0,2,1,345
2010,2013,0,1,0,5,1,3,9,0,1,346
2010,2013,1,1,1,5,3,0,0,2,1,346
2010,2013,0,1,1,1,1,3,9,2,1,347
2010,2013,0,1,1,1,4,1,18,2,1,348
2010,2013,0,1,1,3,3,0,7,2,1,348
2010,2013,1,1,1,0,3,0,6,2,1,348
2010,2013,0,1,1,1,3,3,19,2,1,349
2010,2013,0,1,0,1,1,4,5,0,1,349
2010,2013,0,1,1,3,3,3,3,2,1,350
2010,2013,0,1,1,0,3,0,0,0,1,350
2010,2013,1,1,0,4,3,3,8,0,1,350
2010,2013,0,1,1,3,1,3,9,0,1,351
2010,2013,0,1,1,1,3,1,23,2,1,352
2010,2013,1,1,1,3,1,0,10,2,1,353
2010,2013,0,1,1,4,4,1,15,2,1,353
2010,2013,1,1,1,3,1,3,9,2,1,355
2010,2013,0,1,1,5,1,3,3,2,1,358
2010,2013,0,1,1,1,4,0,0,2,1,359
2010,2013,4,1,1,3,3,3,3,0,1,359
2010,2013,0,1,1,3,3,1,4,2,1,360
2010,2013,0,1,1,1,1,3,3,0,1,360
2010,2013,0,1,1,0,1,3,3,0,1,360
2010,2013,0,1,1,0,3,4,5,0,1,360
2010,2013,0,1,1,3,3,1,1,2,1,362
2010,2013,0,1,1,1,3,0,0,2,1,362
2010,2013,0,1,1,0,1,3,9,0,1,362
2010,2013,0,1,0,1,3,4,11,0,1,363
2010,2013,0,1,1,1,1,3,9,0,1,364
2010,2013,0,1,1,1,3,3,9,0,1,364
2010,2013,0,1,1,1,4,1,1,2,1,366
2010,2013,0,1,1,1,0,0,7,0,1,366
2010,2013,1,1,1,1,1,4,5,0,1,370
2010,2013,1,1,1,0,3,1,16,0,1,370
2010,2013,0,1,0,3,5,4,23,0,1,370
2010,2013,0,1,1,0,3,3,3,2,1,371
2010,2013,0,1,1,0,3,3,3,0,1,371
2010,2013,1,1,1,3,6,0,0,2,1,371
2010,2013,0,1,1,1,3,4,5,2,1,372
2010,2013,0,1,1,1,3,4,5,2,1,372
2010,2013,0,1,1,1,4,0,6,2,1,372
2010,2013,0,1,1,3,3,0,0,2,1,372
2010,2013,0,1,1,3,5,4,5,0,1,373
2010,2013,0,1,1,3,1,0,10,2,1,373
2010,2013,1,1,1,0,3,3,3,2,1,374
2010,2013,0,1,1,3,3,3,3,0,1,375
2010,2013,0,1,1,0,4,0,0,2,1,376
2010,2013,0,1,0,1,0,4,5,0,1,377
2010,2013,0,1,1,3,3,4,23,2,1,377
2010,2013,0,1,1,4,3,4,23,2,1,377
2010,2013,1,1,1,1,1,4,5,2,1,378
2010,2013,0,1,1,3,3,3,3,0,1,378
2010,2013,0,1,1,1,3,3,9,2,1,379
2010,2013,1,1,1,3,4,3,3,2,1,379
2010,2013,0,1,1,1,3,3,3,0,1,380
2010,2013,0,1,1,1,1,4,5,2,1,382
2010,2013,0,1,1,3,0,4,5,0,1,382
2010,2013,0,1,1,1,3,4,5,0,1,383
2010,2013,1,1,1,3,0,0,20,0,1,384
2010,2013,0,1,1,0,1,3,3,0,1,384
2010,2013,0,1,0,4,5,1,16,0,1,385
2010,2013,0,1,1,3,1,3,9,0,1,385
2010,2013,1,1,1,0,4,3,9,2,1,386
2010,2013,0,1,1,3,4,3,3,2,1,386
2010,2013,0,1,1,0,1,0,0,0,1,386
2010,2013,1,1,1,0,3,0,7,0,1,387
2010,2013,1,1,1,1,3,0,0,2,1,387
